CSI_DATA,6355,68:dd:b7:b0:aa:3f,-27,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,249901664,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,10,8,9,9,9,9,8,9,8,9,6,8,6,7,5,6,5,4,5,2,5,1,6,-1,7,-2,7,-3,8,-4,9,-4,9,-4,10,-5,10,-4,10,-4,9,-3,8,-3,7,-3,6,-3,5,-3,4,-4,0,0,1,-6,1,-8,0,-9,0,-10,0,-11,1,-12,2,-12,2,-12,2,-11,3,-10,2,-9,2,-9,1,-7,1,-6,-1,-6,-2,-5,-4,-6,-5,-6,-6,-7,-7,-8,-7,-9,-8,-10,-7,-11,-6,-11,-5,-11,-3,-10,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,6356,68:dd:b7:b0:aa:3f,-27,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,249901781,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,8,-2,6,-3,6,-4,5,-5,5,-7,5,-8,6,-10,7,-10,8,-10,9,-10,9,-9,9,-8,9,-7,8,-6,7,-6,6,-5,4,-5,3,-5,1,-6,0,-7,-1,-7,-1,-9,-2,-10,-1,-11,-1,-12,0,-13,0,0,1,-12,2,-11,2,-10,2,-9,1,-8,0,-7,-1,-6,-2,-6,-3,-6,-5,-7,-6,-7,-6,-8,-6,-9,-6,-10,-6,-12,-5,-12,-4,-12,-3,-12,-2,-11,-1,-10,-1,-9,-2,-7,-2,-6,-3,-5,-4,-5,-5,-5,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,6357,68:dd:b7:b0:aa:3f,-30,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,249972093,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,3,-10,4,-11,6,-12,6,-12,7,-12,7,-11,7,-10,7,-8,6,-7,5,-5,3,-4,1,-2,-1,-1,-3,0,-5,0,-7,1,-8,1,-10,1,-11,1,-11,0,-11,0,-11,0,-11,0,-10,0,-9,0,-7,0,0,0,-4,1,-2,2,0,3,2,3,3,5,4,6,5,7,6,8,6,8,6,9,6,8,5,8,5,7,5,7,5,6,4,4,4,3,4,1,4,-1,4,-3,5,-4,5,-5,6,-7,6,-7,6,-8,6,-8,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,6358,68:dd:b7:b0:aa:3f,-30,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,249972211,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,8,4,10,5,11,6,11,7,10,8,10,8,8,8,7,7,5,7,4,5,3,3,1,1,0,-1,-1,-3,-1,-5,-1,-7,-2,-8,-2,-10,-1,-11,-2,-12,-1,-11,-1,-11,0,-10,-1,-10,-1,-9,-1,-7,0,0,-2,-4,-3,-2,-3,0,-5,1,-6,3,-7,5,-8,5,-9,6,-9,6,-9,6,-10,5,-9,5,-9,5,-8,5,-6,4,-6,4,-4,4,-2,4,0,4,1,4,3,5,5,5,6,6,6,6,6,6,6,7,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,6359,68:dd:b7:b0:aa:3f,-30,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,250046050,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,-1,6,0,7,0,8,1,9,1,9,2,10,2,9,3,8,2,7,3,6,3,4,2,3,1,1,0,0,-1,-1,-2,-2,-4,-3,-5,-4,-6,-4,-7,-4,-8,-4,-9,-4,-9,-4,-9,-3,-9,0,0,-2,-7,-2,-6,-2,-4,-2,-3,-3,-1,-3,1,-4,2,-5,3,-5,4,-6,5,-7,5,-7,5,-7,5,-7,5,-8,4,-7,4,-6,4,-5,3,-4,3,-3,3,-2,3,0,4,1,4,2,5,2,4,2,5,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,6360,68:dd:b7:b0:aa:3f,-30,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,250048675,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-1,-3,-2,-5,-2,-6,-3,-8,-3,-9,-2,-10,-2,-11,-2,-11,-1,-11,0,-10,0,-9,0,-8,1,-6,0,-4,-1,-2,-2,-1,-3,0,-4,2,-5,3,-6,4,-7,4,-8,4,-9,4,-9,4,-9,3,-9,3,0,0,-7,2,-6,2,-4,1,-3,2,-1,2,0,2,2,3,3,4,3,5,4,6,4,7,5,7,4,7,4,7,4,8,3,7,3,6,3,5,3,4,3,3,4,2,4,0,5,-1,5,-1,6,-1,6,-1,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,6361,68:dd:b7:b0:aa:3f,-29,11,1,6,1,1,1,1,1,0,0,-97,0,11,2,250131337,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,-13,0,-12,0,-11,-1,-10,-2,-8,-1,-6,0,-5,1,-4,2,-3,3,-2,4,-2,6,-2,7,-2,8,-2,9,-3,10,-3,9,-4,9,-4,8,-4,7,-4,6,-3,5,-2,5,-1,4,0,3,2,3,4,4,0,0,6,4,6,5,7,6,7,6,7,7,6,7,6,7,5,7,5,6,4,5,4,4,3,3,4,2,5,1,6,0,7,-1,7,-1,9,-1,9,-1,10,0,10,1,10,1,9,1,8,1,7,1,6,1,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,6362,68:dd:b7:b0:aa:3f,-29,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,250131456,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,-1,10,-1,9,0,7,-1,5,0,4,2,2,3,2,5,1,6,0,7,0,9,0,9,1,10,1,9,2,9,3,8,3,8,2,7,2,6,1,5,0,4,0,4,-2,4,-3,3,-4,0,0,4,-7,5,-8,5,-8,6,-8,6,-9,7,-8,7,-7,6,-7,6,-6,5,-5,4,-5,3,-5,1,-6,0,-6,-1,-6,-1,-7,-1,-9,-2,-9,-1,-10,-1,-11,0,-11,0,-11,1,-10,1,-9,1,-8,1,-7,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,6363,68:dd:b7:b0:aa:3f,-27,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,250193033,0,84,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,9,-8,8,-7,7,-6,6,-5,4,-4,2,-4,0,-4,-2,-5,-3,-5,-5,-6,-5,-8,-6,-9,-6,-9,-6,-10,-6,-10,-5,-11,-5,-10,-4,-9,-3,-8,-3,-7,-3,-5,-3,-4,-5,-2,-5,-1,-6,0,-8,1,0,0,-10,2,-11,1,-12,1,-12,0,-12,0,-11,-1,-10,-1,-9,-1,-8,-1,-6,0,-5,1,-4,2,-4,3,-4,5,-4,6,-5,7,-6,8,-6,9,-7,9,-8,9,-8,8,-8,6,-7,6,-6,4,-5,4,-4,3,0,0,0,0,0,0,0,0,0,0]
CSI_DATA,6364,68:dd:b7:b0:aa:3f,-27,11,1,7,1,1,1,1,1,0,0,-97,0,11,2,250193459,0,67,0,128,0,[0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,1,9,2,11,2,11,3,12,3,11,4,11,4,10,5,9,5,8,4,6,3,5,2,4,0,4,-2,3,-3,3,-5,3,-7,5,-8,5,-9,6,-10,6,-10,7,-10,7,-9,7,-8,7,-8,0,0,5,-6,3,-6,2,-6,0,-5,-2,-6,-3,-7,-4,-8,-5,-9,-5,-10,-5,-11,-5,-11,-4,-12,-3,-12,-2,-11,-2,-10,-2,-9,-2,-8,-2,-7,-3,-6,-4,-4,-6,-4,-7,-4,-9,-4,-9,-5,-9,-5,-9,-6,0,0,0,0,0,0,0,0,0,0]
